file,name,DIST_CODE,VIL_CODE,QRTR_CODE,QRTR_NM_E,QRTR_NM_G,VIL_CCD,QRTR_CCD,polygons,vertices,centroid_lon,centroid_lat,bytes,simplified_tolerance_deg
LARNAKA_LARNAKA_AGIOI_ANARGYROI_II.kml,"LARNAKA, LARNAKA AGIOI ANARGYROI II",4,0,9,AGIOI ANARGYROI II,ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ ΙΙ,4000,400009,1,96,33.6237,34.9347,6304,
LARNAKA_LARNAKA_AGIOS_NIKOLAOS.kml,"LARNAKA, LARNAKA AGIOS NIKOLAOS",4,0,7,AGIOS NIKOLAOS,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,4000,400007,1,950,33.606,34.907,38538,
LARNAKA_LARNAKA_ARCH_MAKARIOS_III.kml,"LARNAKA, LARNAKA ARCH. MAKARIOS III",4,0,4,ARCH. MAKARIOS III,ΑΡΧ. ΜΑΚΑΡΙΟΣ ΙΙΙ,4000,400004,1,105,33.594,34.906,6647,
LARNAKA_LARNAKA_CHRYSOPOLITISSA.kml,"LARNAKA, LARNAKA CHRYSOPOLITISSA",4,0,2,CHRYSOPOLITISSA,ΧΡΥΣΟΠΟΛΙΤΙΣΣΑ,4000,400002,1,1190,33.6402,34.9239,47651,
LARNAKA_LARNAKA_KAMARES.kml,"LARNAKA, LARNAKA KAMARES",4,0,10,KAMARES,ΚΑΜΑΡΕΣ,4000,400010,1,57,33.5986,34.9172,4784,
LARNAKA_LARNAKA_KOKKINES.kml,"LARNAKA, LARNAKA KOKKINES",4,0,6,KOKKINES,ΚΟΚΚΙΝΕΣ,4000,400006,1,137,33.6183,34.9402,7798,
LARNAKA_LARNAKA_SKALA.kml,"LARNAKA, LARNAKA SKALA",4,0,1,SKALA,ΣΚΑΛΑ,4000,400001,1,844,33.6271,34.8835,34479,
LARNAKA_LARNAKA_SOTIROS.kml,"LARNAKA, LARNAKA SOTIROS",4,0,3,SOTIROS,ΣΩΤΗΡΟΣ,4000,400003,1,388,33.6229,34.9322,17278,
LARNAKA_LARNAKA_TSAKILERO.kml,"LARNAKA, LARNAKA TSAKILERO",4,0,5,TSAKILERO,ΤΣΑΚΙΛΕΡΟ,4000,400005,1,89,33.6125,34.9362,6002,
LATSIA_GERI_LATSIA_AGIOS_ELEFTHERIOS.kml,"LATSIA - GERI, LATSIA AGIOS ELEFTHERIOS",1,23,2,AGIOS ELEFTHERIOS,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,1023,102302,1,174,33.3848,35.1146,9257,
LATSIA_GERI_LATSIA_AGIOS_GEORGIOS.kml,"LATSIA - GERI, LATSIA AGIOS GEORGIOS",1,23,1,AGIOS GEORGIOS,ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,1023,102301,1,1301,33.3727,35.0989,51933,
LATSIA_GERI_LATSIA_ARCHANGELOS_MICHAIL.kml,"LATSIA - GERI, LATSIA ARCHANGELOS MICHAIL",1,23,3,ARCHANGELOS MICHAIL,ΑΡΧΑΓΓΕΛΟΣ ΜΙΧΑΗΛ,1023,102303,1,125,33.3886,35.1042,7408,
LEFKOSIA_AGIOS_DOMETIOS_AGIOS_GEORGIOS.kml,"LEFKOSIA, AGIOS DOMETIOS AGIOS GEORGIOS",1,10,2,AGIOS GEORGIOS,ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,1010,101002,1,816,33.3048,35.1719,33498,
LEFKOSIA_AGIOS_DOMETIOS_AGIOS_PAVLOS.kml,"LEFKOSIA, AGIOS DOMETIOS AGIOS PAVLOS",1,10,1,AGIOS PAVLOS,ΑΓΙΟΣ ΠΑΥΛΟΣ,1010,101001,1,401,33.322,35.1895,17822,
LEFKOSIA_LEFKOSIA_AGIA_SOFIA.kml,"LEFKOSIA, LEFKOSIA AGIA SOFIA",1,0,26,AGIA SOFIA,ΑΓΙΑ ΣΟΦΙΑ,1000,100026,1,220,33.3645,35.1768,10964,
LEFKOSIA_LEFKOSIA_AGIOI_OMOLOGITES.kml,"LEFKOSIA, LEFKOSIA AGIOI OMOLOGITES",1,0,16,AGIOI OMOLOGITES,ΑΓΙΟΙ ΟΜΟΛΟΓΗΤΕΣ,1000,100016,1,332,33.355,35.1602,15216,
LEFKOSIA_LEFKOSIA_AGIOS_ANDREAS.kml,"LEFKOSIA, LEFKOSIA AGIOS ANDREAS",1,0,1,AGIOS ANDREAS,ΑΓΙΟΣ ΑΝΔΡΕΑΣ,1000,100001,1,306,33.3507,35.1735,14218,
LEFKOSIA_LEFKOSIA_AGIOS_ANTONIOS.kml,"LEFKOSIA, LEFKOSIA AGIOS ANTONIOS",1,0,8,AGIOS ANTONIOS,ΑΓΙΟΣ ΑΝΤΩΝΙΟΣ,1000,100008,1,307,33.3699,35.1687,14261,
LEFKOSIA_LEFKOSIA_AGIOS_IOANNIS.kml,"LEFKOSIA, LEFKOSIA AGIOS IOANNIS",1,0,9,AGIOS IOANNIS,ΑΓΙΟΣ ΙΩΑΝΝΗΣ,1000,100009,1,124,33.3687,35.1726,7337,
LEFKOSIA_LEFKOSIA_AGIOS_KASSIANOS.kml,"LEFKOSIA, LEFKOSIA AGIOS KASSIANOS",1,0,12,AGIOS KASSIANOS,ΑΓΙΟΣ ΚΑΣΣΙΑΝΟΣ,1000,100012,1,114,33.3684,35.1771,6981,
LEFKOSIA_LEFKOSIA_AGIOS_LOUKAS.kml,"LEFKOSIA, LEFKOSIA AGIOS LOUKAS",1,0,23,AGIOS LOUKAS,ΑΓΙΟΣ ΛΟΥΚΑΣ,1000,100023,1,86,33.3657,35.1805,5903,
LEFKOSIA_LEFKOSIA_AGIOS_SAVVAS.kml,"LEFKOSIA, LEFKOSIA AGIOS SAVVAS",1,0,6,AGIOS SAVVAS,ΑΓΙΟΣ ΣΑΒΒΑΣ,1000,100006,1,114,33.3642,35.1718,6955,
