file,name,DIST_CODE,VIL_CODE,VIL_CCD,VIL_NM_E,VIL_NM_G,polygons,vertices,centroid_lon,centroid_lat,bytes,simplified_tolerance_deg
EGKOMI.kml,EGKOMI,3,120,3120,EGKOMI,ΕΓΚΩΜΗ,1,638,33.8869,35.1575,26518,
ELEDIO.kml,ELEDIO,6,116,6116,ELEDIO,ΕΛΕΔΙΟ,1,552,32.5613,34.8133,23247,
ELIA.kml,ELIA,2,216,2216,ELIA,ΕΛΙΑ,1,392,33.219,35.3387,17208,
ELIA_LEFKOSIAS.kml,ELIA LEFKOSIAS,1,438,1438,ELIA LEFKOSIAS,ΕΛΙΑ ΛΕΥΚΩΣΙΑΣ,1,749,32.9204,35.144,30759,
EMBA.kml,EMBA,6,22,6022,EMBA,ΕΜΠΑ,1,488,32.4251,34.807,20829,
EPICHO.kml,EPICHO,1,135,1135,EPICHO,ΕΠΙΧΟ,1,1596,33.5228,35.2331,62675,
EPISKOPEIO.kml,EPISKOPEIO,1,228,1228,EPISKOPEIO,ΕΠΙΣΚΟΠΕΙΟ,1,662,33.2292,35.0395,27428,
EPISKOPI_PAFOU.kml,EPISKOPI PAFOU,6,112,6112,EPISKOPI PAFOU,ΕΠΙΣΚΟΠΗ ΠΑΦΟΥ,1,742,32.5285,34.7952,30480,
EPTAGONEIA.kml,EPTAGONEIA,5,138,5138,EPTAGONEIA,ΕΠΤΑΓΩΝΕΙΑ,1,828,33.1517,34.8432,33693,
EPTAKOMI.kml,EPTAKOMI,3,338,3338,EPTAKOMI,ΕΠΤΑΚΩΜΗ,1,1583,34.0341,35.4535,62192,
ERGATES.kml,ERGATES,1,230,1230,ERGATES,ΕΡΓΑΤΕΣ,1,1035,33.2307,35.0675,41512,
EVRETOU.kml,EVRETOU,6,313,6313,EVRETOU,ΕΥΡΕΤΟΥ,1,587,32.4846,34.9606,24587,
EVRYCHOU.kml,EVRYCHOU,1,411,1411,EVRYCHOU,ΕΥΡΥΧΟΥ,1,1378,32.9144,35.062,54468,
EXO_METOCHI.kml,EXO METOCHI,1,134,1134,EXO METOCHI,ΕΞΩ ΜΕΤΟΧΙ,1,1052,33.5363,35.2017,42148,
FARMAKAS.kml,FARMAKAS,1,201,1201,FARMAKAS,ΦΑΡΜΑΚΑΣ,1,1876,33.139,34.9217,73301,
FASLI.kml,FASLI,6,354,6354,FASLI,ΦΑΣΛΙ,1,496,32.3606,34.9884,21123,
FASOULA_LEMESOU.kml,FASOULA LEMESOU,5,103,5103,FASOULA LEMESOU,ΦΑΣΟΥΛΑ ΛΕΜΕΣΟΥ,1,1026,33.0308,34.756,41161,
FASOULA_PAFOU.kml,FASOULA PAFOU,6,201,6201,FASOULA PAFOU,ΦΑΣΟΥΛΑ ΠΑΦΟΥ,1,508,32.6315,34.7539,21630,
FIKARDOU.kml,FIKARDOU,1,205,1205,FIKARDOU,ΦΙΚΑΡΔΟΥ,1,921,33.181,34.9758,37193,
FILOUSA_CHRYSOCHOUS.kml,FILOUSA CHRYSOCHOUS,6,315,6315,FILOUSA CHRYSOCHOUS,ΦΙΛΟΥΣΑ ΧΡΥΣΟΧΟΥΣ,1,778,32.5031,34.9655,31854,
FILOUSA_KELOKEDARON.kml,FILOUSA KELOKEDARON,6,216,6216,FILOUSA KELOKEDARON,ΦΙΛΟΥΣΑ ΚΕΛΟΚΕΔΑΡΩΝ,1,354,32.7369,34.8551,15843,
FLAMOUDI.kml,FLAMOUDI,3,314,3314,FLAMOUDI,ΦΛΑΜΟΥΔΙ,2,896,33.8488,35.4044,36510,
FLASOU.kml,FLASOU,1,412,1412,FLASOU,ΦΛΑΣΟΥ,1,1180,32.8966,35.0654,46961,
FOINI.kml,FOINI,5,352,5352,FOINI,ΦΟΙΝΙ,1,511,32.8114,34.8967,21683,
FOINIKAS.kml,FOINIKAS,6,108,6108,FOINIKAS,ΦΟΙΝΙΚΑΣ,1,397,32.5682,34.748,17422,
FOTA.kml,FOTA,2,110,2110,FOTA,ΦΟΤΑ,1,905,33.2242,35.2528,36588,
FRODISIA.kml,FRODISIA,1,465,1465,FRODISIA,ΦΡΟΔΙΣΙΑ,1,1620,32.6709,35.0857,63602,
FTERICHA.kml,FTERICHA,2,212,2212,FTERICHA,ΦΤΕΡΙΧΑ,1,405,33.2241,35.3206,17710,
FTERIKOUDI.kml,FTERIKOUDI,1,303,1303,FTERIKOUDI,ΦΤΕΡΙΚΟΥΔΙ,1,883,33.0737,34.9625,35783,
FYLLIA.kml,FYLLIA,1,367,1367,FYLLIA,ΦΥΛΛΙΑ,1,477,33.105,35.1985,20442,
FYTI.kml,FYTI,6,306,6306,FYTI,ΦΥΤΗ,1,582,32.5428,34.9319,24370,
F_LEIA.kml,FΑLEIA,6,223,6223,FΑLEIA,ΦΑΛΕΙΑ,1,500,32.5861,34.8572,21282,
GAIDOURAS_NEA_SPARTI.kml,GAIDOURAS-NEA SPARTI,3,210,3210,GAIDOURAS-NEA SPARTI,ΓΑΪΔΟΥΡΑΣ-ΝΕΑ ΣΠΑΡΤΗ,1,391,33.8117,35.1474,17242,
GALATA.kml,GALATA,1,406,1406,GALATA,ΓΑΛΑΤΑ,1,865,32.8888,34.9962,35052,
GALATARIA.kml,GALATARIA,6,224,6224,GALATARIA,ΓΑΛΑΤΑΡΙΑ,1,428,32.6408,34.8667,18585,
GALATEIA.kml,GALATEIA,3,337,3337,GALATEIA,ΓΑΛΑΤΕΙΑ,1,1570,34.078,35.4268,61752,
GALINI.kml,GALINI,1,451,1451,GALINI,ΓΑΛΗΝΗ,1,820,32.7827,35.1343,33407,
